Nombre,,,,Tipo,Productor,,Pais,DO,,Uvas,,,,,,PRECIO COMPRA,PORCENTAJE,PREU
L'Ocell,,,,Tinto,Hidalgo Albert,,España,Montsant,,"Garnacha, Carinyena, Cabernet Sauvignon",,,,,,"5,90 €","1,20%","7,08 €"
Valtravieso Santa María,,,,Tinto,Valtravieso,,España,Ribera del Duero,,"Tempranillo, Merlot,  Cabernet Sauvignon",,,,,,"6,25 €","1,20%","7,52 €"
Zismero Garnacha,,,,Tinto,Alto Moncayo,,España,Campo de Borja,,Garnacha,,,,,,"6,65 €","1,20%","7,97 €"
Manuel Hidalgo Fina,,,,Tinto,Hidalgo Albert,,España,Priorat,,"Garnacha, Cabernet",", ",,,,,"7,90 €","1,21%","9,57 €"
B.R.O.T.,,,,Tinto,Col·lectiu Biodinamich,,España,Penedès,,Tempranillo,", Pinot Noir",,,,,"9,42 €","1,16%","10,97 €"
Almanova,,,,Tinto,Alma Mas Donas,,España,Ribiera Sacra,,Mencía,,,,,,"8,59 €","1,19%","10,25 €"
Gruñón,,,,Tinto,Alto Moncayo,,España,Campo de Borja,,Garnacha & Syrah,,,,,,"11,25 €","1,42%","15,97 €"
Metrius,,,,Tinto,-,,España,Galicia,,"Syrah, Merlot",,,,,,"13,45 €","1,19%","15,98 €"
Proventus,,,,Tinto,Tr3smano,,España,Ribera del Duero,,Tempranillo,,,,,,"11,32 €","1,37%","15,48 €"
Edouard Delaunay Bourgogne,,,,Tinto,Edourad Delaunay,,Francia,Bourgone,,Pinot Noir,,,,,,"12,70 €","1,21%","15,37 €"
Remírez de Ganuza Reserva,,,,Tinto,Remirez de Ganuza,,España,Rioja,,Tempranillo,,,,,,"42,00 €","1,24%","52,22 €"
Viñas del Vero Pinot Noir 2024,,,,Rosado,Viñas del Vero,,España,Somontano,,Pinot Noir,,,,,,"5,56 €","1,20%","6,68 €"
Herència Altés L'Esponetania,,,,Rosado,Herència Altés,,España,Terra Alta,,"Garnacha, Carinyena, Garnacha Peluda",,,,,,"6,15 €","1,22%","7,49 €"
Gran Caus Rosat,,,,Rosado,Can Rafols dels Caus,,España,Penedès,,Merlot,,,,,,"11,75 €","1,20%","14,10 €"
Senda de los Olivos Verdejo,,,,Blanco,Senda de los Olivos,,España,Rueda,,Verdejo,,,,,,"4,16 €","1,38%","5,74 €"
Vilarnau Capricis,,,,Blanco,Vilarnau,,España,Penedès,,Xarel·lo,,,,,,"5,62 €","1,18%","6,64 €"
Ònix Clàssic,,,,Blanco,Vitinicola del Priorat,,España,Priorat,,"Garnacha Blanca, Macabeu, PX",,,,,,"6,97 €","1,18%","8,23 €"
B.R.O.T. Blanc,,,,Blanco,Col·lectiu Biodinamich,,España,PEnedès,,"Macabeu, Riesling, Xarel·lo",,,,,,"9,42 €","1,16%","10,97 €"
Benufet Herència Altés,,,,Blanco,Herència Altés,,España,Terra Alta,,Garnacha Blanca,,,,,,"9,45 €","1,18%","11,18 €"
Almalarga,,,,Blanco,Alma Mas Donas,,España,Ribiera Sacra,,Godello,,,,,,"10,70 €","1,18%","12,64 €"
Lagar de Proventus Albariño,,,,Blanco,Tr3smano,,Portugal,Douro,,Albariño,,,,,,"11,90 €","1,17%","13,96 €"
Taleia Castell d'Encus,,,,Blanco,Castell d'encus,,España,Costers del Segre,,Sauvignon Blanc,,,,,,"18,52 €","1,18%","21,86 €"
Pere Mata Reserva Família,,,,Espumoso,Mata i Coloma,,España,Cava,,"Macabeo, Xarel·lo, Parellada",,,,,,"9,95 €","1,16%","11,54 €"
AT Roca Rosat Reserva 2021,,,,Espumoso,AT Roca,,España,Classic Penedès,,"Macabeo, Xarel·lo, Parellada",,,,,,"10,08 €","1,20%","12,14 €"
Alta Alella Laietà Gran Reserva Brut Nature 2019,,,,Espumoso rosado,Alta Alella,,España,Cava,,Monastrell,,,,,,"16,25 €","1,18%","19,18 €"
El Corral Cremat,,,,Espumoso,Albet i Noya,,España,Classic Penedès,,Xarel·lo,,,,,,"42,50 €","1,20%","51,12 €"
Brimoncourt Brut Régence,,,,Espumoso,Brimoncourt,,Francia,Champagne,,"Chardonnay, Pinot Noir, Pinot Meunier",,,,,,"26,23 €","1,23%","32,21 €"
Amat Montané Sireni 2021,,,,Espumoso,Amat & Montané,,España,Ancestral,,"Xarel·lo, Muscatt",,,,,,"7,65 €","1,36%","10,39 €"